validationSplit:0.2
correspondingWeights:/usr/stud/alleboud/vision/trainedweights/04-11PM_April-10-2017_kc_LSTM.h5
batchSize:100
Beta:500
meanOfMeansImage:False
startingweights:/usr/stud/alleboud/vision/trainedweights/weights/mergedweights.h5
total number of samples:1019
val_loss,loss
920.995329913,546.989562988
926.433041741,541.876052388
969.060508878,544.421861988
929.317457311,536.33770106
922.094154807,549.955694374
923.895011752,547.187184714
944.678383472,549.963756912
906.389700497,542.679088382
912.337857714,545.972432798
919.665985556,557.809570687
971.952674567,545.628050915
931.43886611,555.349050042
918.655414507,547.686898167
909.407705718,547.101972428
900.650826099,548.138973025
928.874341628,546.687153728
957.34331303,546.839047297
873.605194241,549.769614284
918.327746522,540.639960447
931.114855299,546.045746037
930.505845911,542.240763939
929.493935379,544.276814654
943.918318805,542.224662266
936.408451754,548.394119356
936.919412351,547.201194529
898.120283688,545.147156417
903.909039217,539.219961904
889.187350105,544.189438896
892.705206778,550.753177853
912.796866473,543.228160928
956.404489555,543.187158596
934.243292565,535.783294303
934.428325429,536.824572323
950.179103627,540.551509647
926.069335638,545.054640413
886.393622604,535.70330511
910.386199203,535.158662106
859.584002626,534.527778672
928.600362441,541.463879638
926.584524865,538.169940036
899.299827426,536.497401325
929.816416273,542.152010678
942.103436788,541.365359254
945.808574452,536.11083872
922.36327766,528.981734106
930.209731457,541.454543974
921.172461117,537.992063932
924.415449703,535.759097983
914.877341476,529.821761149
894.349031486,541.413865259
919.093937145,531.133076486
866.206903495,537.209497089
909.306744295,531.510405745
865.739654391,535.43284195
889.704278086,535.521793108
886.834919948,535.747116557
909.945013158,529.189650085
925.629308813,540.998542739
900.60127752,531.808460821
907.431034163,528.57311787
935.5870484,539.42583152
942.112142825,532.925582043
916.987649955,531.844936909
924.993010128,529.294091348
928.697770063,530.600846928
898.819174075,522.999334417
968.197221345,530.217022012
